X,Y,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-73.987134,40.692092,,2019/10/10 17:39:06+00,,,1:39:06 PM,,10 Oct 2019 at 1:39:06 PM,,,,,,,,,,,,,,,,
-73.987182,40.693216,,2019/10/10 17:41:34+00,,,1:41:34 PM,,10 Oct 2019 at 1:41:34 PM,,,,,,,,,,,,,,,,
-73.987199,40.693187,,2019/10/10 17:41:57+00,,,1:41:57 PM,,10 Oct 2019 at 1:41:57 PM,,,,,,,,,,,,,,,,
-73.987136,40.693233,,2019/10/10 17:42:52+00,,,1:42:52 PM,,10 Oct 2019 at 1:42:52 PM,,,,,,,,,,,,,,,,
-73.987045,40.693329,,2019/10/10 17:46:08+00,,,1:46:08 PM,,10 Oct 2019 at 1:46:08 PM,,,,,,,,,,,,,,,,
-73.986987,40.693501,,2019/10/10 17:46:32+00,,,1:46:32 PM,,10 Oct 2019 at 1:46:32 PM,,,,,,,,,,,,,,,,
-73.986957,40.693615,,2019/10/10 17:47:03+00,,,1:47:03 PM,,10 Oct 2019 at 1:47:03 PM,,,,,,,,,,,,,,,,
-73.987001,40.693852,,2019/10/10 17:47:24+00,,,1:47:24 PM,,10 Oct 2019 at 1:47:24 PM,,,,,,,,,,,,,,,,
-73.987003,40.693898,,2019/10/10 17:47:48+00,,,1:47:48 PM,,10 Oct 2019 at 1:47:48 PM,,,,,,,,,,,,,,,,
-73.987171,40.693813,,2019/10/10 17:48:33+00,,,1:48:33 PM,,10 Oct 2019 at 1:48:33 PM,,,,,,,,,,,,,,,,
-73.986117,40.693627,,2019/10/10 17:49:52+00,,,1:49:52 PM,,10 Oct 2019 at 1:49:52 PM,,,,,,,,,,,,,,,,
-73.986056,40.693593,,2019/10/10 17:50:18+00,,,1:50:18 PM,,10 Oct 2019 at 1:50:18 PM,,,,,,,,,,,,,,,,
-73.986145,40.693429,,2019/10/10 17:50:58+00,,,1:50:58 PM,,10 Oct 2019 at 1:50:58 PM,,,,,,,,,,,,,,,,
-73.98637,40.693433,,2019/10/10 17:51:40+00,,,1:51:40 PM,,10 Oct 2019 at 1:51:40 PM,,,,,,,,,,,,,,,,
-73.986027,40.693477,,2019/10/10 19:16:07+00,,,3:16:07 PM,,10 Oct 2019 at 3:16:07 PM,,,,,,,,,,,,,,,,
-73.986031,40.693529,,2019/10/10 19:17:08+00,,,3:17:08 PM,,10 Oct 2019 at 3:17:08 PM,,,,,,,,,,,,,,,,
-73.987134,40.692092,,2019/10/10 17:39:06+00,,,1:39:06 PM,,10 Oct 2019 at 1:39:06 PM,,,,,,,,,,,,,,,,
-73.987182,40.693216,,2019/10/10 17:41:34+00,,,1:41:34 PM,,10 Oct 2019 at 1:41:34 PM,,,,,,,,,,,,,,,,
-73.987199,40.693187,,2019/10/10 17:41:57+00,,,1:41:57 PM,,10 Oct 2019 at 1:41:57 PM,,,,,,,,,,,,,,,,
-73.987136,40.693233,,2019/10/10 17:42:52+00,,,1:42:52 PM,,10 Oct 2019 at 1:42:52 PM,,,,,,,,,,,,,,,,
-73.987045,40.693329,,2019/10/10 17:46:08+00,,,1:46:08 PM,,10 Oct 2019 at 1:46:08 PM,,,,,,,,,,,,,,,,
-73.986987,40.693501,,2019/10/10 17:46:32+00,,,1:46:32 PM,,10 Oct 2019 at 1:46:32 PM,,,,,,,,,,,,,,,,
-73.986957,40.693615,,2019/10/10 17:47:03+00,,,1:47:03 PM,,10 Oct 2019 at 1:47:03 PM,,,,,,,,,,,,,,,,
-73.987001,40.693852,,2019/10/10 17:47:24+00,,,1:47:24 PM,,10 Oct 2019 at 1:47:24 PM,,,,,,,,,,,,,,,,
-73.987003,40.693898,,2019/10/10 17:47:48+00,,,1:47:48 PM,,10 Oct 2019 at 1:47:48 PM,,,,,,,,,,,,,,,,
-73.987171,40.693813,,2019/10/10 17:48:33+00,,,1:48:33 PM,,10 Oct 2019 at 1:48:33 PM,,,,,,,,,,,,,,,,
-73.986117,40.693627,,2019/10/10 17:49:52+00,,,1:49:52 PM,,10 Oct 2019 at 1:49:52 PM,,,,,,,,,,,,,,,,
-73.986056,40.693593,,2019/10/10 17:50:18+00,,,1:50:18 PM,,10 Oct 2019 at 1:50:18 PM,,,,,,,,,,,,,,,,
-73.986145,40.693429,,2019/10/10 17:50:58+00,,,1:50:58 PM,,10 Oct 2019 at 1:50:58 PM,,,,,,,,,,,,,,,,
-73.98637,40.693433,,2019/10/10 17:51:40+00,,,1:51:40 PM,,10 Oct 2019 at 1:51:40 PM,,,,,,,,,,,,,,,,
-73.986027,40.693477,,2019/10/10 19:16:07+00,,,3:16:07 PM,,10 Oct 2019 at 3:16:07 PM,,,,,,,,,,,,,,,,
-73.986031,40.693529,,2019/10/10 19:17:08+00,,,3:17:08 PM,,10 Oct 2019 at 3:17:08 PM,,,,,,,,,,,,,,,,
