X,Y,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-73.987418,40.692356,,2019/10/10 17:39:06+00,,,1:39:06 PM,,10 Oct 2019 at 1:39:06 PM,,,,,,,,,,,,,,,,
-73.987378,40.693166,,2019/10/10 17:41:34+00,,,1:41:34 PM,,10 Oct 2019 at 1:41:34 PM,,,,,,,,,,,,,,,,
-73.987377,40.69337,,2019/10/10 17:41:57+00,,,1:41:57 PM,,10 Oct 2019 at 1:41:57 PM,,,,,,,,,,,,,,,,
-73.987374,40.693603,,2019/10/10 17:42:52+00,,,1:42:52 PM,,10 Oct 2019 at 1:42:52 PM,,,,,,,,,,,,,,,,
 -73.987089,40.693647,,2019/10/10 17:46:08+00,,,1:46:08 PM,,10 Oct 2019 at 1:46:08 PM,,,,,,,,,,,,,,,,
 -73.987069,40.693839,,2019/10/10 17:47:03+00,,,1:47:03 PM,,10 Oct 2019 at 1:47:03 PM,,,,,,,,,,,,,,,,
-73.987074,40.693983,,2019/10/10 17:47:24+00,,,1:47:24 PM,,10 Oct 2019 at 1:47:24 PM,,,,,,,,,,,,,,,,
-73.98695,40.694067,,2019/10/10 17:47:48+00,,,1:47:48 PM,,10 Oct 2019 at 1:47:48 PM,,,,,,,,,,,,,,,,
-73.986855,40.694121,,2019/10/10 17:48:33+00,,,1:48:33 PM,,10 Oct 2019 at 1:48:33 PM,,,,,,,,,,,,,,,,
-73.986931,40.693824,,2019/10/10 17:49:52+00,,,1:49:52 PM,,10 Oct 2019 at 1:49:52 PM,,,,,,,,,,,,,,,,
 -73.986839,40.693846,,2019/10/10 17:50:18+00,,,1:50:18 PM,,10 Oct 2019 at 1:50:18 PM,,,,,,,,,,,,,,,,
-73.98606,40.693841,,2019/10/10 17:50:38+00,,,1:50:38 PM,,10 Oct 2019 at 1:50:38 PM,,,,,,,,,,,,,,,,
 -73.986149,40.693653,,2019/10/10 17:50:58+00,,,1:50:58 PM,,10 Oct 2019 at 1:50:58 PM,,,,,,,,,,,,,,,,
-73.986152,40.693488,,2019/10/10 17:51:40+00,,,1:51:40 PM,,10 Oct 2019 at 1:51:40 PM,,,,,,,,,,,,,,,,
-73.985953,40.693486,,2019/10/10 19:16:07+00,,,3:16:07 PM,,10 Oct 2019 at 3:16:07 PM,,,,,,,,,,,,,,,,
-73.985771,40.693516,,2019/10/10 19:17:08+00,,,3:17:08 PM,,10 Oct 2019 at 3:17:08 PM,,,,,,,,,,,,,,,,
