X,Y,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-73.98736,40.692313,,2019/10/16 13:05:31+00,,,9:05:31 AM,,16 Oct 2019 at 9:05:31 AM,,,,,,,,,,,,,,,,
-73.987139,40.692297,,2019/10/16 13:06:05+00,,,9:06:05 AM,,16 Oct 2019 at 9:06:05 AM,,,,,,,,,,,,,,,,
-73.986907,40.692289,,2019/10/16 13:06:26+00,,,9:06:26 AM,,16 Oct 2019 at 9:06:26 AM,,,,,,,,,,,,,,,,
-73.986493,40.692275,,2019/10/16 13:07:18+00,,,9:07:18 AM,,16 Oct 2019 at 9:07:18 AM,,,,,,,,,,,,,,,,
-73.986362,40.692274,,2019/10/16 13:07:37+00,,,9:07:37 AM,,16 Oct 2019 at 9:07:37 AM,,,,,,,,,,,,,,,,
-73.986192,40.692298,,2019/10/16 13:08:09+00,,,9:08:09 AM,,16 Oct 2019 at 9:08:09 AM,,,,,,,,,,,,,,,,
-73.986175,40.69276,,2019/10/16 13:08:59+00,,,9:08:59 AM,,16 Oct 2019 at 9:08:59 AM,,,,,,,,,,,,,,,,
-73.986151,40.693034,,2019/10/16 13:09:28+00,,,9:09:28 AM,,16 Oct 2019 at 9:09:28 AM,,,,,,,,,,,,,,,,
-73.986162,40.693315,,2019/10/16 13:10:00+00,,,9:10:00 AM,,16 Oct 2019 at 9:10:00 AM,,,,,,,,,,,,,,,,
-73.986145,40.693603,,2019/10/16 13:10:44+00,,,9:10:44 AM,,16 Oct 2019 at 9:10:44 AM,,,,,,,,,,,,,,,,
-73.985707,40.693665,,2019/10/16 13:11:21+00,,,9:11:21 AM,,16 Oct 2019 at 9:11:21 AM,,,,,,,,,,,,,,,,
